name,globalChannel_fastfood,globalChannel_other,rating,pc4,level_zip,dv
Familierestaurant Bergsche Plas,0,1,4.0,2661,721,OPERATIONAL
Cafetaria De Berg,0,0,4.5,5551,1967,OPERATIONAL
Café-Restaurant 't Spek-Ende,0,1,4.4,7101,2607,OPERATIONAL
Brownies & Downies Wageningen,0,1,4.7,6701,2459,OPERATIONAL
Familierestaurant In de Brouwerij,0,1,4.2,5087,1740,OPERATIONAL
Aafje De Twee Bruggen,0,1,2.5,3076,888,OPERATIONAL
Cafetaria De Schans,0,0,4.7,4944,1698,OPERATIONAL
Zomerrestaurant De Tuinkamer,0,1,4.9,7777,2901,OPERATIONAL
Butlers Choice,0,1,4.1,5611,1982,OPERATIONAL
Haagse Poort Café De,0,0,4.6,4811,1634,OPERATIONAL
Restaria Westhoek,0,1,4.3,5101,1746,OPERATIONAL
Ka & De Bolle,0,1,4.2,3131,915,OPERATIONAL
Gastronomie Smeets,0,1,4.5,6447,2345,OPERATIONAL
Broodje bij de Molen,0,1,4.5,2242,547,OPERATIONAL
Ekmekci,0,1,4.3,3083,894,OPERATIONAL
Restaurant Jasmijn,0,1,4.7,1391,187,OPERATIONAL
Cafetaria-Snackbar Ramo,0,1,1.9,1054,35,CLOSED_PERMANENTLY
Wester Wijnfabriek,0,0,4.1,1014,4,CLOSED_PERMANENTLY
Toko Y-von,0,1,4.4,3317,1013,OPERATIONAL
Het Stadhuis,0,1,4.5,4501,1511,OPERATIONAL
Plaza Vermeere,0,1,4.0,2181,527,OPERATIONAL
Grieks Restaurant Platia,0,1,4.4,6901,2523,OPERATIONAL
Syrisch restaurant Sesam - Pizzeria & Grillroom,0,0,4.2,6222,2261,OPERATIONAL
Subway,0,1,4.0,2288,574,OPERATIONAL
Tosti World,0,1,3.8,9711,3895,CLOSED_PERMANENTLY
BIO Bodega,0,1,4.5,3033,853,CLOSED_PERMANENTLY
"Zoethout , dagbesteding en individuele hulpverlening",0,1,4.5,8051,3056,OPERATIONAL
Twines,0,1,4.7,6374,2321,OPERATIONAL
Laura's Keuken,0,1,4.4,3319,1015,CLOSED_PERMANENTLY
Eetcafé Cyprus,0,1,3.7,3291,1001,OPERATIONAL
Quinzies' Bar N' Grill,0,0,4.3,2511,644,OPERATIONAL
Warande Park Restaurant,0,1,4.1,5707,2043,OPERATIONAL
Restaurant Damzicht,0,1,4.4,2951,805,OPERATIONAL
Restaurant Vitellius,0,1,4.5,5975,2141,OPERATIONAL
Café Bonaire,0,0,4.5,1421,201,OPERATIONAL
B-EAT,0,1,2.7,1101,73,CLOSED_PERMANENTLY
Cafe Aod Bosseve,0,0,4.6,6002,2154,OPERATIONAL
The Lowlander,0,0,4.5,2411,623,CLOSED_PERMANENTLY
Café-Restaurant \'De Tapperij\' B.V.,0,1,4.2,7261,2668,OPERATIONAL
Restaurant Golbach,0,1,3.9,7562,2796,CLOSED_PERMANENTLY
Argos Barneveld,0,0,4.3,3772,1197,OPERATIONAL
De Bakkerswinkel,0,1,4.5,3012,837,OPERATIONAL
Smaakrijk,0,1,4.3,6511,2359,OPERATIONAL
Noorderlicht Café,0,1,4.3,1033,20,OPERATIONAL
Kaapse Maria,0,1,4.5,3012,837,CLOSED_TEMPORARILY
De Kastanje,0,0,4.2,6566,2385,OPERATIONAL
Wijkcentrum Kruispunt,0,0,4.0,7331,2690,OPERATIONAL
it Stee foar Iters en Drinkers,0,0,4.6,9231,3640,OPERATIONAL
Cafe La Gare Du Sud,0,1,2.0,5611,1982,CLOSED_PERMANENTLY
Café-Restaurant 'Grenszicht',0,1,4.3,7152,2632,OPERATIONAL
Chocolate Company Café Rotterdam,0,0,4.4,3012,837,OPERATIONAL
Eethuis Palestina,0,1,3.9,6043,2180,OPERATIONAL
ZiN,0,1,4.1,2042,484,OPERATIONAL
De Hoop op d'Swarte Walvis B.V.,0,1,4.1,1509,256,OPERATIONAL
BROOD.STORE,0,1,4.5,6191,2249,OPERATIONAL
Ollie's coffee and more,0,1,4.6,1391,187,OPERATIONAL
Hill's Food & Fun,0,1,4.4,6617,2417,OPERATIONAL
Romy's Open Keuken,0,1,4.5,7557,2792,OPERATIONAL
Hippie Fish,0,1,4.4,2042,484,CLOSED_TEMPORARILY
AsiaTropical,0,1,4.085146853146845,2273,564,CLOSED_PERMANENTLY
Barry Emons Aangepast Spelmateriaal B.V.,0,0,4.8,5411,1904,OPERATIONAL
De Loft 23,0,1,4.5,5911,2111,OPERATIONAL
MINA,0,0,4.8,1017,7,CLOSED_TEMPORARILY
Djago,0,1,4.2,1078,58,OPERATIONAL
Keldercafé DownTown,0,0,4.7,5061,1730,CLOSED_PERMANENTLY
William's Pub,0,0,4.0,2042,484,CLOSED_PERMANENTLY
Restaurant De Gekroonde Brasem,0,1,4.1,2377,608,OPERATIONAL
De Vrienden,0,1,3.8,2402,615,CLOSED_PERMANENTLY
At Seven,0,1,4.3,1078,58,OPERATIONAL
Restaurant De Hof,0,1,4.5,3927,1273,OPERATIONAL
Restaurant 't Heertje,0,1,4.8,4611,1562,CLOSED_PERMANENTLY
Café Schansoord,0,0,4.6,5469,1937,OPERATIONAL
Cafe 't Zwaantje,0,0,4.6,1781,379,OPERATIONAL
Grieks Restaurant Irodion,0,1,4.5,1421,201,CLOSED_PERMANENTLY
Café de Klep,0,0,4.6,5911,2111,OPERATIONAL
Taveerne Rabenhaupt,0,1,4.0,9711,3895,OPERATIONAL
Party Centrum Antoine,0,1,4.1,6027,2170,OPERATIONAL
Smooth & Tasty B.V.,0,0,4.0,1025,14,OPERATIONAL
Grandcafé De Heeren,0,0,4.2,1701,329,OPERATIONAL
de Nieuwe Morsch,0,1,4.4,2312,580,CLOSED_PERMANENTLY
Lokaal - Dutch Beer Bar,0,0,4.7,2011,464,OPERATIONAL
Tung Kong,0,1,4.3,6833,2499,OPERATIONAL
Restaurant Merkelbach,0,1,4.3,1097,71,OPERATIONAL
Sol Grill,0,1,4.2,6131,2225,OPERATIONAL
LAKES BAR & KITCHEN,0,1,4.4,1216,120,OPERATIONAL
Big Bread Zwijndrecht,0,1,4.0,3331,1018,OPERATIONAL
't Vijfde,0,1,3.7,4621,1569,OPERATIONAL
Café \'De Breer\',0,0,4.5,6043,2180,OPERATIONAL
Mykonos Weert B.V.,0,1,4.5,6001,2153,OPERATIONAL
Bakkerij Gorthuis,0,1,4.5,2132,503,OPERATIONAL
Yip & Yang's Goya Sushi & Grill,0,1,4.4,4001,1299,OPERATIONAL
Jenny's Kip & Rib,0,1,4.3,4731,1612,CLOSED_PERMANENTLY
Nieuwe Oosten,0,1,4.1,3333,1020,OPERATIONAL
De Viersprong Tapas en Bugers,0,1,4.0,5764,2067,OPERATIONAL
Suri IJs & More,0,1,4.0,3059,873,OPERATIONAL
coffee / tea and pizza garden Little Sands,0,0,4.3,9865,3975,CLOSED_PERMANENTLY
't Centrum,0,0,4.4,1661,306,CLOSED_PERMANENTLY
Jawa City,0,1,3.4,1363,182,CLOSED_PERMANENTLY
B En B Horeca V.o.f.,0,0,4.3,2961,811,OPERATIONAL
Restaurant Auberge Navet,0,1,4.7,7334,2693,OPERATIONAL
Eethuis Marrakech,0,1,4.1,3026,847,OPERATIONAL
De Ossehut,0,1,3.4,4318,1428,CLOSED_PERMANENTLY
Café 't Kraantje,0,0,4.5,2312,580,OPERATIONAL
Hartig,0,1,4.0,3818,1215,OPERATIONAL
Caribbean BBQ House,0,1,3.1,1315,146,CLOSED_PERMANENTLY
Bali James Breda Indonesisch Restaurant,0,1,4.1,4811,1634,OPERATIONAL
Humphrey's Restaurant Eindhoven,0,1,4.0,5611,1982,CLOSED_PERMANENTLY
Local Deli,0,1,4.8,1075,55,OPERATIONAL
YuMe,0,1,4.2,7411,2716,OPERATIONAL
De Osdorper,0,1,4.4,1171,103,OPERATIONAL
Japans eethuis SUZURAN すずらん,0,1,4.1,2512,645,CLOSED_PERMANENTLY
Café Kuijper,0,1,4.4,1093,67,OPERATIONAL
Café \'Den Overkant\',0,0,4.3,4651,1579,OPERATIONAL
Jilly's I Cafetaria & Pizzeria,0,0,4.4,7815,2924,CLOSED_PERMANENTLY
Ristorante La Piazza,0,1,4.5,9501,3792,OPERATIONAL
Prima Fleur,0,1,4.2,2974,819,OPERATIONAL
Restaurant Achteraf,0,1,4.3,2712,738,OPERATIONAL
Coffeeshop Down Town,0,0,4.2,5141,1764,OPERATIONAL
De Vlaminck,0,1,4.7,1811,395,OPERATIONAL
Verhage Kort Ambacht,0,1,4.1,3333,1020,OPERATIONAL
Maneki Japans Restaurant,0,1,4.4,3581,1125,OPERATIONAL
Route 66 Pizza & Burgers,0,1,4.0,7311,2674,CLOSED_PERMANENTLY
91Spices,0,1,4.1,3011,836,OPERATIONAL
Alkmaarse Poort C.V.,0,1,3.9,1812,396,OPERATIONAL
Zeeuws Mosselhuis,0,1,4.4,4361,1452,CLOSED_PERMANENTLY
Sari Koering,0,1,4.1,3011,836,OPERATIONAL
De Hollandsche Hap,0,1,4.7,2584,687,OPERATIONAL
Grand cafe 't plein,0,1,4.4,1025,14,OPERATIONAL
Cafetaria De Boemerang,0,0,4.7,7586,2807,OPERATIONAL
Cafetaria 't Bikkertje,0,1,4.0,5654,2011,OPERATIONAL
Suprême Café,0,1,4.2,5611,1982,CLOSED_PERMANENTLY
Verkeer en Openbare Ruimte,0,0,5.0,1018,8,OPERATIONAL
Kippie Utrecht - Overvecht,0,1,4.6,3562,1117,OPERATIONAL
Cafetaria DT Twins Snackhuysch,0,1,4.4,4001,1299,OPERATIONAL
Art Centre Delft,0,1,4.4,2629,710,OPERATIONAL
Kippie Den Haag,0,1,4.4,2545,665,OPERATIONAL
ROAST CHICKEN HAARLEM,0,1,4.3,2011,464,OPERATIONAL
Lunchroom Delifrance,0,1,4.5,3364,1037,OPERATIONAL
Koffie en Eethuis \'De Gelderse Poort\',0,1,4.2,6566,2385,OPERATIONAL
Restaurant At James,0,1,3.9,1012,2,OPERATIONAL
Minos Pallas B.V.,0,1,4.2,3434,1060,OPERATIONAL
Wok Golden City,0,1,4.1,9642,3857,OPERATIONAL
Ottoman Tapas en Grill,0,1,4.5,3014,839,CLOSED_PERMANENTLY
DICE Dining,0,1,5.0,5062,1731,CLOSED_PERMANENTLY
Café 42,0,1,4.7,2518,651,OPERATIONAL
Restaurant De Domburger,0,1,4.4,4357,1451,OPERATIONAL
Mart Cafe,0,0,3.6,3011,836,OPERATIONAL
Schatjes,0,0,3.3,7201,2637,OPERATIONAL
V.O.F. Restaurant Gewoon,0,1,4.3,3281,998,OPERATIONAL
Snackbar De Biest,0,0,4.3,6001,2153,OPERATIONAL
Kicking Horse Café,0,1,4.0,2582,685,OPERATIONAL
Herberg in het wilde zwijn,0,1,4.4,5571,1975,OPERATIONAL
Boer en Hap,0,1,3.8,3362,1035,CLOSED_PERMANENTLY
Eetwinkel Buurman & Buurman Groningen Rodeweg,0,1,4.6,9715,3899,OPERATIONAL
Cafetaria Dwars,0,0,4.3,6521,2362,OPERATIONAL
Osteria,0,1,4.7,5492,1945,OPERATIONAL
Eethuis Derde Perron,0,1,3.9,9801,3949,OPERATIONAL
Coffee Bru,0,0,4.4,1092,66,OPERATIONAL
De Knip Bar,0,0,4.4,1058,39,OPERATIONAL
Het Kookavontuur,0,1,5.0,5175,1780,OPERATIONAL
Café de Lindeboom Westwoud,0,0,4.3,1617,281,OPERATIONAL
Bij Roel Linssen,0,1,4.6,5801,2070,OPERATIONAL
Peking Wok,0,1,3.9,2611,698,CLOSED_PERMANENTLY
Restaurant Roadrunner,0,1,4.2,7722,2876,OPERATIONAL
't Libre-Café,0,0,4.2,5341,1855,OPERATIONAL
Fu Chen,0,1,4.3,5131,1762,OPERATIONAL
Bussia,0,1,4.6,1016,6,OPERATIONAL
"Techador Bread,Coffee & More",0,1,3.8,1058,39,OPERATIONAL
Café De Zon,0,0,4.3,1015,5,OPERATIONAL
Ristorante San Giorgio,0,1,3.7,3811,1208,OPERATIONAL
Nissa cafe,0,0,4.3,2181,527,OPERATIONAL
Het Haventje van Urk B.V.,0,1,4.2,8321,3167,OPERATIONAL
Restaurant BROEQ,0,1,3.6,1721,341,OPERATIONAL
The Tosti Club® Den Bosch,0,1,4.2,5223,1789,OPERATIONAL
Japanse Delicatessen ATARIYA,0,1,4.4,1082,61,OPERATIONAL
Cafvino-Dulce,0,1,3.3,3841,1231,CLOSED_PERMANENTLY
Taveerne De Twaalf Balcken,0,1,4.5,1791,388,OPERATIONAL
Oranje Belhuis Internationaal + Internetcafé,0,0,4.4,4621,1569,CLOSED_PERMANENTLY
Beleggingsmaatschappij A. Barth B.V.,0,0,4.5,3295,1004,OPERATIONAL
Café Hegeraad,0,0,4.4,1015,5,OPERATIONAL
Cafetaria \''t Smulhoekje\',0,0,4.0,9641,3856,OPERATIONAL
Slagerij Marlet,0,1,4.1,3971,1285,OPERATIONAL
't Delikaatje,0,1,5.0,4554,1541,OPERATIONAL
Boss Assendelft B.V.,0,1,4.1,1566,269,OPERATIONAL
Avontura Barendrecht,0,0,4.0,2992,832,OPERATIONAL
Italiaans Restaurant-Pizzeria 'Santa Maria' (Landgraaf),0,0,4.2,6372,2319,OPERATIONAL
Slot Purmersteijn Party & Dinner,0,0,4.3,1441,215,OPERATIONAL
Stadscafé de Pelikaan,0,1,4.2,9401,3713,OPERATIONAL
De Phil by Wijnstra Catering (Philharmonie),0,1,4.3,5025,1708,OPERATIONAL
Bloemenbar,0,0,4.1,1012,2,OPERATIONAL
Cafe de Kroegtijger,0,0,4.6,1012,2,OPERATIONAL
't Kastiëlke,0,1,3.7,6415,2326,CLOSED_PERMANENTLY
Woest,0,1,4.4,5563,1974,OPERATIONAL
Buds Tolhuis No. 11,0,1,4.2,3888,1251,OPERATIONAL
Meneer Vos,0,0,4.3,6534,2370,OPERATIONAL
burgerme Leiden,0,1,3.4,2352,599,OPERATIONAL
"Café Teerling, bij Bert & Anja",0,0,4.2,6419,2330,OPERATIONAL
POPEI,0,1,4.2,5617,1988,OPERATIONAL
Delphi Netherlands B.V.,0,1,3.0,5213,1784,OPERATIONAL
Café-Restaurant \'De Wissel\',0,1,4.085146853146845,4881,1676,CLOSED_PERMANENTLY
Cafetaria Wetzels,0,1,4.4,6143,2234,OPERATIONAL
aet-kefee \Faubourg St.Jacques\',0,1,4.5,6041,2178,OPERATIONAL
Muziekcafé de Hommel,0,0,4.4,3134,918,OPERATIONAL
Cucina del Mondo,0,1,4.7,6411,2322,CLOSED_PERMANENTLY
The Fat Pie,0,1,4.1,1053,34,CLOSED_PERMANENTLY
Gossimijne Oss,0,1,4.1,5341,1855,OPERATIONAL
Restaurant de Boterlap,0,1,4.3,3841,1231,OPERATIONAL
Golden City,0,1,4.1,7622,2828,CLOSED_PERMANENTLY
Venezia Borger,0,1,3.9,9531,3806,CLOSED_PERMANENTLY
't Terras,0,0,4.0,3961,1283,OPERATIONAL
Bij Rembrandt Heerhugowaard,0,1,4.6,1703,331,OPERATIONAL
Cafetaria-Eetmakerij Pelkhuisje,0,1,4.5,7101,2607,OPERATIONAL
't Witte Hoes,0,1,4.2,7461,2746,OPERATIONAL
Bellami's - Bar à Manger,0,1,4.9,9712,3896,OPERATIONAL
Bella Italia Pizzeria,0,0,3.9,8261,3134,OPERATIONAL
Restaurant DownTown Dordrecht,0,1,3.9,3311,1007,OPERATIONAL
De Elft,0,1,4.6,5363,1874,OPERATIONAL
De Herberg van Smallingerland,0,1,4.5,9221,3637,OPERATIONAL
Fameus frites,0,1,4.9,1811,395,CLOSED_PERMANENTLY
Warung Mini van Wou,0,1,3.9,1074,54,OPERATIONAL
Café Tramzicht,0,1,4.4,4357,1451,OPERATIONAL
Enjoy Cafetaria Sandwich & Sushi,0,1,4.1,1161,101,OPERATIONAL
Kingsdish IJsselstein,0,1,4.8,3401,1045,OPERATIONAL
Bakker Bart,0,0,4.1,5683,2029,OPERATIONAL
Little Prince,0,1,4.6,2511,644,OPERATIONAL
Tijn Akersloot,0,1,4.2,2042,484,OPERATIONAL
eetcafé de Hoek,0,1,4.2,2396,613,OPERATIONAL
Eetcafé De Beurs,0,1,4.1,7941,3004,OPERATIONAL
New York Pizza,0,1,3.8,1106,78,OPERATIONAL
Café De Roos,0,0,4.4,1815,399,OPERATIONAL
Bar Breitner,0,1,3.5,1051,32,CLOSED_PERMANENTLY
Restaurant & Cafetaria 't SKAFFIE,0,1,4.0,1619,282,OPERATIONAL
Pietza,0,1,4.3,5611,1982,OPERATIONAL
Bodega-Bodega,0,1,3.3,1251,130,CLOSED_PERMANENTLY
De Boswachter,0,0,4.2,5469,1937,OPERATIONAL
LIZ Grand Café,0,1,4.0,6515,2361,CLOSED_PERMANENTLY
Boulevard,0,1,3.0,6221,2260,CLOSED_PERMANENTLY
Yoghurt Barn Rotterdam,0,1,4.3,3012,837,OPERATIONAL
Autogrill De Meern,0,1,3.4,3454,1078,CLOSED_PERMANENTLY
Le Perron Ede,0,1,4.7,6711,2468,OPERATIONAL
´t Oale Gemeentehoes,0,1,4.1,9451,3752,CLOSED_PERMANENTLY
Café Jeronimus,0,1,4.2,5211,1782,OPERATIONAL
Snackbar Eetcafé De Opper,0,0,5.0,1674,310,CLOSED_PERMANENTLY
Cafe Cafetaria De Ploeg,0,1,3.7,5298,1832,OPERATIONAL
De Sandwich Club,1,0,4.0,5623,1991,OPERATIONAL
Giovanni's,0,1,4.4,9711,3895,CLOSED_PERMANENTLY
De Grillende Keukenmeiden,0,1,4.263829223017799,3743,1181,OPERATIONAL
Coffee Shots - Kiosk | by Eline,0,1,4.8,1013,3,OPERATIONAL
New York Pizza,0,1,3.5,1064,45,OPERATIONAL
Café de Kastelein,0,0,4.5,9311,3686,OPERATIONAL
Tapperij Het Veulen,0,0,4.4,5211,1782,OPERATIONAL
Grand Café The Gallery,0,0,4.085146853146845,2611,698,CLOSED_PERMANENTLY
Very Italian Pizza Leiden,0,1,4.1,2312,580,OPERATIONAL
Deksels,0,1,3.3,5061,1730,CLOSED_PERMANENTLY
Chez Alexander,0,1,3.5,1315,146,CLOSED_PERMANENTLY
De Friterie,0,1,4.2,9351,3701,OPERATIONAL
The Crazy Chicken,0,1,4.7,1781,379,OPERATIONAL
Eetcounter De Hunze,0,1,4.3,9714,3898,OPERATIONAL
Café de Beurs,0,0,4.6,4901,1681,OPERATIONAL
Zalencentrum Oale Stee,0,1,4.4,7826,2930,OPERATIONAL
Bar-B Burgers ‘n’ Beer,0,1,4.5,1017,7,OPERATIONAL
"Eetcafé N9NE Beer, Food & Wine",0,1,3.8,5281,1824,OPERATIONAL
V.O.F. Bamboo City,0,1,4.3,3958,1281,OPERATIONAL
Trattoria Pizzeria Da Damiano,0,0,4.4,1054,35,OPERATIONAL
Feest en Podium Cafe de Engelstede,0,0,4.9,9723,3905,OPERATIONAL
Cafe Zinne,0,0,4.1,2741,756,CLOSED_PERMANENTLY
Oad Grathem,0,0,4.1,6096,2204,CLOSED_PERMANENTLY
Hammilicious,0,1,4.9,7602,2815,OPERATIONAL
Sher-E-Punjab Indiaas Restaurant,0,1,4.5,8232,3120,OPERATIONAL
Cafeteria \'The Seagull\',0,0,4.5,9724,3906,OPERATIONAL
't Schouwtje,0,1,4.5,2243,548,OPERATIONAL
Smoked Bar.B.Q / Restaurant,0,1,4.1,2513,646,CLOSED_PERMANENTLY
Cafe Restaurant Venster 33,0,1,4.1,1072,52,OPERATIONAL
In den Dorstigen Haen,0,1,4.2,5911,2111,OPERATIONAL
Cafe Zaal 't Haspeltje,0,0,4.0,6901,2523,OPERATIONAL
ice cream parlor Holland,0,0,4.5,5401,1896,OPERATIONAL
Foodtruckkoning,0,1,4.5,3432,1058,OPERATIONAL
Azië,0,1,4.2,4761,1621,OPERATIONAL
Jade,0,1,4.4,4826,1647,OPERATIONAL
Rosetta's Kitchen,0,1,4.5,1053,34,CLOSED_PERMANENTLY
Het Genot van Grootschermer,0,1,4.4,1843,415,OPERATIONAL
The Fish Market,0,1,4.3,3011,836,OPERATIONAL
Cardia location Tabitha,1,0,4.3,2555,673,OPERATIONAL
Dosa South Indian Restaurant,0,1,3.9,1054,35,OPERATIONAL
Azzurro Eten en Drinken,0,1,4.0,9685,3884,CLOSED_PERMANENTLY
La Picoletta,0,1,4.2,2011,464,OPERATIONAL
De Pizzabakkers,0,1,4.5,1054,35,OPERATIONAL
Wereldkeuken Amber,0,1,4.2,5165,1777,OPERATIONAL
Zaika Handmade Burgers,0,1,4.4,8923,3491,OPERATIONAL
De Nieuwe Poort Rotterdam,0,1,4.1,3013,838,OPERATIONAL
Café van der Zwaag,0,0,4.085146853146845,8464,3268,CLOSED_PERMANENTLY
Le Due Sicilie,0,1,4.6,1091,65,OPERATIONAL
Diner Café Het MauritsHuis,0,1,4.5,8911,3480,CLOSED_PERMANENTLY
Turks Specialiteiten Restaurant De Sultan,0,1,4.3,9541,3812,OPERATIONAL
Café 'De Kartouwe' V.O.F..,0,0,4.6,7001,2567,OPERATIONAL
Anna's Theetuin,0,0,3.0,1711,335,CLOSED_PERMANENTLY
Samen happerij & tapperij,0,1,4.2,4461,1494,CLOSED_PERMANENTLY
Cafe Oblomov BV,0,0,4.4,9711,3895,OPERATIONAL
Bellini's Pizza & Pasta B.V.,0,1,4.0,3853,1242,OPERATIONAL
Het Muldershuis,0,1,4.2,7152,2632,OPERATIONAL
Olympia,0,1,3.8,3841,1231,OPERATIONAL
Restaurant De Handschoen,0,1,4.3,8014,3034,CLOSED_PERMANENTLY
Chez Jessy,0,1,4.8,9936,4015,CLOSED_PERMANENTLY
Party Restaurant De Hoefstal,0,1,4.5,5171,1778,OPERATIONAL
Volendammer vishandel Nieuwland,0,1,4.2,3824,1220,OPERATIONAL
Smaak en Beleving Breda,0,1,4.0,4814,1637,OPERATIONAL
Yacht Club Noorderhem,0,1,4.4,2371,604,OPERATIONAL
Beachhouse The Vrijbuyter,0,1,4.2,4503,1512,OPERATIONAL
Espresso Lounge,0,1,4.4,2011,464,OPERATIONAL
De Vier Jaargetyden,0,1,3.8,8181,3103,CLOSED_PERMANENTLY
The Shamrock Inn,0,1,4.3,3221,962,OPERATIONAL
Soen Lie,0,1,4.0,3562,1117,OPERATIONAL
PartyGarant - Partyverhuur Barendrecht,0,0,5.0,2992,832,OPERATIONAL
Restaurant Harboury,0,1,4.2,5017,1704,OPERATIONAL
Luno Bar & Kitchen,0,1,4.0,1211,115,CLOSED_PERMANENTLY
Nieuw Olympia,0,1,4.2,4761,1621,OPERATIONAL
Istanbul Plaza,0,1,3.1,1017,7,OPERATIONAL
Lunchroom CityBeanz,0,1,3.9,4381,1459,OPERATIONAL
Restaurant La Rana (De Kikker),0,1,4.2,2515,648,OPERATIONAL
Country Shop Kopermolen,0,0,4.5,3835,1229,OPERATIONAL
De Drie Reeën,0,1,4.7,5721,2049,OPERATIONAL
De Leste Geulde Café - restaurant en zalencentrum,0,1,4.1,5961,2134,OPERATIONAL
Lunchroom \'Hannibal\',0,1,4.5,1072,52,OPERATIONAL
Humphrey's Restaurant Tilburg (gesloten),0,1,3.6,5038,1714,CLOSED_PERMANENTLY
Café Cook,0,0,4.5,1056,37,OPERATIONAL
Ariana Restaurant,0,1,4.0,5691,2034,CLOSED_PERMANENTLY
Bie Toontje,0,0,4.6,7451,2745,OPERATIONAL
FLOC Restaurant,0,1,4.7,2513,646,OPERATIONAL
Dragons Delight,0,1,4.3,1074,54,OPERATIONAL
British Grand-cafe The Pub,0,1,4.3,4921,1691,OPERATIONAL
Domino's Pizza Rotterdam Airport,0,1,3.6,3045,864,OPERATIONAL
Horeca Exploitatie Vredeburg B.V.,0,0,4.5,1906,429,OPERATIONAL
Restaurant Hogenboom,0,1,4.4,2371,604,OPERATIONAL
Tivoli,0,1,3.7,2661,721,OPERATIONAL
NAKED espresso Warmoesstraat,0,1,4.3,1012,2,OPERATIONAL
Bagels & Beans Wycker Brugstraat Maastricht,0,1,4.4,6221,2260,OPERATIONAL
BURRATA,0,1,4.0,1017,7,OPERATIONAL
Pavie Wines & Gifts,0,0,4.8,2517,650,OPERATIONAL
Banketbakkerij Herfst Tearoom Chocolade Siroopwafels Gebak Taart,0,0,4.3,2801,763,OPERATIONAL
Theeschenkerij Ewsum,0,0,4.4,9991,4060,OPERATIONAL
Restaurant aan Zee De Grië,0,1,4.2,8881,3467,OPERATIONAL
Café Geen Idee!,0,0,4.2,1796,393,CLOSED_PERMANENTLY
Restaurant Sinck,0,1,3.4,1016,6,CLOSED_PERMANENTLY
Cafe De Herleving,0,0,4.4,4561,1542,CLOSED_PERMANENTLY
"Lunch, bar en restaurant het Galjoen",0,1,4.4,2691,733,OPERATIONAL
Cafétaria 't Hoekhuus,0,0,4.4,6741,2480,OPERATIONAL
Tempura,0,1,4.3,1018,8,OPERATIONAL
Ristorante Al Dente,0,1,4.0,2011,464,OPERATIONAL
Restaurant Lucky,0,1,3.5,5622,1990,CLOSED_PERMANENTLY
Cafetaria-Lunchroom Stratum,0,0,4.4,5645,2005,OPERATIONAL
Ibiza,0,1,4.3,7607,2820,OPERATIONAL
Bakkerij Bart Haaksbergen,0,0,4.4,7481,2756,OPERATIONAL
Restaurant VOC,0,1,4.4,2611,698,CLOSED_PERMANENTLY
Kwalitaria Amstelplein,0,1,4.2,1423,203,OPERATIONAL
Genesis,0,0,4.1,4201,1375,CLOSED_PERMANENTLY
Snackbar Piccadilly,0,1,4.1,5213,1784,CLOSED_PERMANENTLY
Restaurant 95,0,1,4.2,1075,55,OPERATIONAL
Murphy's Law,0,0,4.5,2514,647,OPERATIONAL
snackbar twins,0,1,4.2,8256,3133,OPERATIONAL
Bakker Pompe,0,1,4.7,2191,529,OPERATIONAL
De Baai van Lemmer,0,1,4.6,8531,3319,OPERATIONAL
Ohm Eethuis,0,1,4.4,2011,464,OPERATIONAL
Tennis & Squash Overhout,0,0,4.0,2034,479,OPERATIONAL
Restaurant New Peking,0,1,4.2,2371,604,OPERATIONAL
Coffee & Cacao Lunchcafé,0,0,4.6,1141,95,OPERATIONAL
Pieperz Eindhoven,0,1,4.5,5611,1982,OPERATIONAL
Kaldi Maastricht,0,0,4.5,6221,2260,OPERATIONAL
Bananas Asian Food Shop,0,1,4.7,3511,1088,OPERATIONAL
Grandcafé Koekenbier,0,1,3.8,1815,399,CLOSED_PERMANENTLY
Café Goesting,0,0,4.4,1404,196,OPERATIONAL
Educatieve Viskwekerij de Stroom,0,1,4.8,5688,2032,OPERATIONAL
Cafetaria J-Beez,0,0,4.2,5241,1798,OPERATIONAL
Bart Gouma Culinair,0,0,5.0,7948,3009,OPERATIONAL
Mayur Indian/Indiaas Restaurant,0,1,4.2,1017,7,OPERATIONAL
Maggie Blue,0,1,4.1,2406,619,OPERATIONAL
Café de Bossche Poort,0,0,4.7,4811,1634,OPERATIONAL
Snackbar De Klomp,0,1,4.4,1901,427,OPERATIONAL
NI HAO Wok Kattendiep,0,1,3.9,9711,3895,CLOSED_PERMANENTLY
De Bosberg,0,1,4.1,8426,3236,OPERATIONAL
Herberg De Morgenstond,0,1,4.3,5766,2068,OPERATIONAL
Café Lux B.V.,0,0,4.2,1017,7,OPERATIONAL
Gastrobar IJmuidens Haventje,0,1,2.6,1976,459,OPERATIONAL
Restaurant De Wandelaar,0,1,4.1,2011,464,OPERATIONAL
Cafetaria/eetcafe 't CAF,0,1,4.0,5314,1841,OPERATIONAL
"Café-Restaurant, Dancing 'De Babbel' Apeldoorn",0,1,4.1,7311,2674,OPERATIONAL
Intratuin Ter Aar,0,1,4.2,2461,633,OPERATIONAL
Beton Bar Central Station,0,1,3.9,3511,1088,OPERATIONAL
Toppi Sushi,0,1,4.8,4818,1641,CLOSED_PERMANENTLY
Bakkerij Balvert,0,1,4.1,1093,67,OPERATIONAL
